AUTHOR,TITLE,SCORE
刘慈欣,三体,8.8
[日] 东野圭吾,解忧杂货店,8.8
中华书局编辑部编著,二十四史,8.8
约翰·赫斯特（John Hir...,你一定爱读的极简欧洲史,8.8
王小波,沉默的大多数,8.8
[日] 东野圭吾,白夜行,8.8
"伍君仪,刘晓光",把你的英语用起来！,8.8
当年明月,明朝那些事儿（1-9）,8.8
[美] 戴维·迈尔斯,社会心理学,8.8
柴静,看见,8.8
[美]乔治·R.R.马丁,冰与火之歌,8.8
[哥伦比亚] 加西亚·马尔克斯,百年孤独,8.8
"[美] 莫提默·J. 艾德勒,...",如何阅读一本书,8.8
[美] 亨利·基辛格,论中国,8.6
（美）Randal E.Bry...,深入理解计算机系统（原书第2版）,8.6
逯薇,小家，越住越大,8.6
（挪威）乔斯坦·贾德,苏菲的世界,8.6
"马克·劳伦,乔舒亚·克拉克",无器械健身,8.6
[美]埃里克·施密特,重新定义公司,8.6
[英] 王尔德,王尔德童话,8.6
"[日] 江户川乱步,[日] 松...",日本短篇推理小说选,8.6
"陶涵,Jay Taylor",蔣介石與現代中國的奮鬥,8.6
"[美] 保罗·海恩,[美] 彼...",经济学的思维方式（第11版）,8.6
旋元佑,英语魔法师之语法俱乐部,8.6
王小波,黄金时代,8.6
本·霍洛维茨 Ben Horo...,创业维艰,8.6
布朗,学会提问,8.6
"南派三叔 著,CAH 绘",盗墓笔记,8.6
[美] 阿图·葛文德（Atul...,最好的告别,8.6
[阿根廷] 博尔赫斯,博尔赫斯小说集,8.6
"[美] 理查德·格里格,菲利普...",心理学与生活,8.6
霍达,穆斯林的葬礼,8.6
马涛,从零开始学炒股：股票入门与实战,8.6
[美] 黄仁宇,万历十五年,8.9
[美] 贾雷德·戴蒙德,枪炮、病菌与钢铁,8.9
沈从文,沈从文别集,8.9
[美] L. S. 斯塔夫里阿...,全球通史,8.9
[英] 毛姆,人生的枷锁,8.9
[美] 简·博克(Jane B...,拖延心理学,8.9
(日)村上春树,1Q84（全三册）,8.9
[奥] 斯蒂芬·茨威格,人类的群星闪耀时（增订版）,8.9
[美] 罗伯特·西奥迪尼,影响力,8.9
[德] 叔本华,人生的智慧,8.9
古龙,古龙作品全集（全53册）,8.9
[美] M·斯科特·派克,少有人走的路,8.9
A.S.Hornby(霍恩比),牛津高阶英汉双解词典（第7版）,8.9
[美] 查尔斯·杜希格 (Ch...,习惯的力量,8.9
[英] 史蒂芬·霍金,时间简史,8.8
"文晞,路瑞锁",搞懂金融的第一本书,8.8
吴军,数学之美,8.8
[美] Robin Willi...,写给大家看的设计书（第3版）,8.8
[美] 哈珀·李,杀死一只知更鸟,8.8
刘慈欣,三体全集,8.8
路遥,平凡的世界（全三部）,8.8
"人民教育出版社,光村图书出版株...",中日交流标准日本语（新版初级上下册）,8.9
"[美] M.尼尔•布朗,[美]...",学会提问,8.9
马克•凯斯特勒 (Mark K...,30天学会绘画,8.9
美国纽约摄影学院,美国纽约摄影学院摄影教材（上）,8.9
李平武,英语词根与单词的说文解字,8.9
伍昊,你早该这么玩Excel,8.9
钱锺书,围城,8.9
[美] 海莲·汉芙,查令十字街84号,8.9
汪曾祺,汪曾祺全集(1),8.9
梁文道,常识,8.9
[日] 东野圭吾,恶意,8.9
"亞當·德永 著,岡村透子 繪",極致挑逗：雙人共撫全圖解120招,8.9
严歌苓,陆犯焉识,8.9
[日] 东野圭吾,嫌疑人X的献身,8.8
林欣浩,哲学家们都干了些什么？,8.8
[美] 丹尼尔·卡尼曼,思考，快与慢,8.8
[哥伦比亚] 加西亚·马尔克斯,霍乱时期的爱情,8.8
李笑来,把时间当作朋友（第3版）,8.8
[英] 肯·福莱特,巨人的陨落,8.8
[日] 安倍夜郎,深夜食堂 01,8.8
余华,活着,8.8
野夫,身边的江湖,8.9
[美] 史蒂芬·柯维,高效能人士的七个习惯（精华版）,8.9
[美] 徐中约,中国近代史,8.9
龙应台,孩子你慢慢来,8.9
刘瑜,送你一颗子弹,8.9
[日] 村上春树,挪威的森林,8.9
"龙应台,[德] 安德烈",亲爱的安德烈,8.9
三毛,三毛典藏全集,8.9
[美] 卡勒德·胡赛尼,追风筝的人,8.8
[日] 原研哉,设计中的设计,8.8
吴晓波,把生命浪费在美好的事物上,8.8
孙皓晖,大秦帝国,8.8
[美] 尼尔·波兹曼,娱乐至死,8.8
[美] 曼昆,经济学原理（上下）,9.0
[美]乔治·R.R.马丁,冰与火之歌·卷一·权力的游戏（全三册）,9.0
南派三叔,盗墓笔记,9.0
于绍文,三国演义连环画(1-60),9.0
[英] 阿加莎·克里斯蒂,阿加莎·克里斯蒂侦探推理“波洛”系列（全32册）,9.0
[美] 沃尔特·艾萨克森,史蒂夫·乔布斯传,9.0
J.K.罗琳,哈利.波特-(珍藏版)(全七册),9.0
路遥,平凡的世界,8.9
海宴,琅琊榜（全三册）,8.9
吴晓波,激荡三十年,8.9
杨绛,我们仨,8.9
[美]本·伯南克,行动的勇气,8.9
[美]  凯利·麦格尼格尔,自控力,9.0
[美] 伍绮诗,无声告白,9.0
保罗·威德,囚徒健身,9.0
[英] 乔治·奥威尔,1984,9.0
(法)古斯塔夫.勒庞,乌合之众,9.0
（英）柯南·道尔,福尔摩斯探案全集（图注本 精装收藏版）,9.0
司马光,资治通鉴-(柏杨白话版)(全九辑三十六册)(双盒装),9.0
[日] 村上春树,当我谈跑步时我谈些什么,9.0
东野圭吾,东野圭吾精选集-全10册,9.0
"[美]罗纳德·B·阿德勒,拉塞...",沟通的艺术（插图修订第14版）,9.0
"木心 口述,陈丹青 笔录",文学回忆录（全2册）,9.0
[美]莉兹•克里莫,你今天真好看,9.0
龙应台,目送,9.0
金庸,笑傲江湖（全四册）,8.9
[以] 尤瓦尔·赫拉利,未来简史,8.9
罗兰•米勒 (Rowland ...,亲密关系（第5版）,8.9
王小波,思维的乐趣,8.9
[美] 艾萨克·阿西莫夫,永恒的终结,8.9
万维钢（同人于野）,万万没想到,8.9
姜戎,狼图腾,8.9
[美] 彼得·海斯勒,寻路中国,8.9
何偉,甲骨文,8.9
吴念真,这些人，那些事,8.9
八月长安,最好的我们,8.9
[美] 凯文·凯利,必然,8.9
夏达,"子不语(1,2)",8.9
[英] 爱德华·吉本,罗马帝国衰亡史（套装共6册）,8.9
梁思成,中国建筑史,8.9
東野圭吾,解憂雜貨店,8.9
[美] 弗·司各特·菲茨杰拉德,了不起的盖茨比,8.9
金宇澄,繁花,8.9
今何在,悟空传,8.9
"王小波,李银河",爱你就像爱生命,8.9
芭芭拉·明托,金字塔原理,8.1
杰西·利弗莫尔,股票作手回忆录,8.1
[日]田中芳树,银河英雄传说-全十册,8.1
柯林斯出版公司 编,柯林斯COBUILD高阶英语学习词典,8.1
白先勇,台北人,8.1
李泽厚,美的历程,8.1
[英] 伊恩·麦克尤恩,最初的爱情 最后的仪式,8.1
[美]亨利·戴维·梭罗,瓦尔登湖,8.1
[英] 阿加莎・克里斯蒂,无人生还,8.1
[意大利]伊塔洛·卡尔维诺,看不见的城市,8.1
[美] 莉兹·克里莫,我可以咬一口吗,8.1
[美] N.格里高利·曼昆,经济学原理,8.1
刘慈欣,三体Ⅱ,8.1
乔一,我不喜欢这世界，我只喜欢你,8.1
张德芬,遇见未知的自己,8.1
"本杰明·格雷厄姆,戴维·多德",证券分析,8.1
冯骥才,一百个人的十年,8.1
刘未鹏,暗时间,8.1
"Peter Thiel,Bla...",Zero to One,8.1
[英]毛姆,刀锋,8.1
基思•斯坦诺维奇,对伪心理学说不,9.2
杰克·特劳特（Jack Tro...,定位,9.2
陈寅恪,柳如是别传（全三册）,9.2
[美] 乔希·维茨金 (Jos...,学习之道（第2版）,9.2
[美]乔治·R. R. 马丁,冰与火之歌·卷五·魔龙的狂舞（全三册）,9.2
南派三叔,盗墓笔记,9.2
[美] 约翰·S. 戈登,伟大的博弈,9.2
[美] 彼得·海斯勒,江城,9.2
[美]罗恩·彻诺(Ron Ch...,摩根财团,9.2
金庸,天龙八部,9.2
[美] 安德斯·艾利克森（An...,刻意练习,9.2
[英] 贡布里希 (Sir E...,艺术的故事,9.2
[英] 莎士比亚,莎士比亚全集（全8册）,9.2
[意] 卡洛·罗韦利,七堂极简物理课,9.2
"[德] 于尔克·舒比格 著,[...",当世界年纪还小的时候,9.2
毛姆(W. Sommerset...,月亮與六便士,9.2
顾漫,何以笙箫默,9.2
威廉·H·麦加菲 编,美国语文（上下册）,9.2
八月长安,你好，旧时光（三周年纪念版）,9.2
【美】基思 E. 斯坦诺维奇（...,超越智商,9.2
[美] Paul Graham,黑客与画家,8.8
林达,历史深处的忧虑,8.8
张羽,只有医生知道!,8.8
[美] 威廉·曼彻斯特,光荣与梦想,8.8
[美国] J. D. 塞林格,麦田里的守望者,8.8
[美] Bruce Eckel,Java编程思想 （第4版）,8.8
刘慈欣,三体Ⅲ,8.8
"［奥］弗兰兹·卡夫卡 著,叶廷...",卡夫卡全集,8.8
刘慈欣,流浪地球,8.8
Bruce Barnbaum,摄影的艺术,8.8
高木直子,一个人去跑步,8.8
袁珂,中国神话传说（上下）,8.8
[捷克] 米兰·昆德拉,不能承受的生命之轻,8.8
[日] 安倍夜郎,深夜食堂 03,8.8
[日] 安倍夜郎,深夜食堂 02,8.8
：（美）诺曼•道伊奇（Norm...,重塑大脑，重塑人生,8.8
蒋勋,孤独六讲,8.8
[法] 大仲马,基督山伯爵（上下）,8.8
陈忠实,白鹿原,8.8
罗素,西方哲学史（上卷）,8.8
[日] 伊坂幸太郎,金色梦乡,9.0
顾城,顾城诗全集,9.0
阿耐,大江东去（共三部）,9.0
[英] 纽特·斯卡曼,神奇动物在哪里,9.0
(美)罗伯特·M.波西格,禅与摩托车维修艺术,9.0
考拉小巫,考拉小巫的英语学习日记,9.0
[美]纳西姆•尼古拉斯•塔勒布,反脆弱,9.0
孙皓晖,大秦帝国(套装全6部11卷),9.0
