IP,SPEED,LAST_CHECK_TIME,DNS_POSITION,PORT,TYPE
106.46.136.134,0.104秒,17-03-01 13:34,,808,HTTP
119.5.1.47,0.257秒,17-03-01 13:32,四川南充,808,HTTP
106.46.136.43,3.195秒,17-03-01 13:32,,808,HTTP
106.46.136.61,1.039秒,17-03-01 13:32,,808,HTTP
175.155.25.12,0.253秒,17-03-01 13:30,四川德阳,808,HTTP
106.46.136.235,0.162秒,17-03-01 13:27,,808,HTTP
106.46.136.60,0.481秒,17-03-01 13:27,,808,HTTP
115.217.8.36,3.074秒,17-03-01 13:27,浙江宁波,80,HTTP
182.88.83.61,0.33秒,17-03-01 13:27,广西南宁,8123,HTTP
49.69.87.91,0.178秒,17-03-01 13:24,江苏苏州,8998,HTTP
60.176.237.168,0.195秒,17-03-01 13:22,浙江杭州,808,HTTP
106.46.136.12,0.186秒,17-02-28 16:15,,808,HTTP
171.39.43.122,0.874秒,17-03-01 13:21,广西百色,8123,HTTP
175.155.24.62,0.203秒,17-03-01 13:20,四川德阳,808,HTTP
125.109.190.126,0.251秒,17-02-28 16:12,浙江温州,8998,HTTP
119.5.0.86,3.186秒,17-02-28 16:11,四川南充,808,HTTP
220.191.103.153,0.134秒,17-03-01 13:18,浙江杭州,808,HTTP
106.46.136.80,1.18秒,17-03-01 13:18,,808,HTTP
125.120.10.51,0.306秒,17-02-28 23:18,浙江杭州,808,HTTP
115.198.32.37,0.493秒,17-02-28 16:10,浙江杭州,808,HTTP
114.99.3.35,0.247秒,17-02-28 16:09,安徽安庆,808,HTTP
119.5.0.49,0.236秒,17-03-01 13:17,四川南充,808,HTTP
114.113.148.167,2.155秒,17-03-01 13:15,北京,808,HTTP
220.191.13.209,0.194秒,17-02-28 23:18,浙江杭州,808,HTTP
106.46.136.92,0.165秒,17-02-28 23:14,,808,HTTP
112.74.99.60,4.738秒,17-02-28 16:07,广东佛山,80,HTTP
114.113.148.171,0.704秒,17-02-28 16:07,北京,808,HTTP
106.46.136.10,4.38秒,17-03-01 13:13,,808,HTTP
125.118.75.175,0.397秒,17-03-01 13:10,浙江杭州,808,HTTP
106.46.136.99,0.424秒,17-03-01 02:09,,808,HTTP
60.176.234.122,2.517秒,17-02-28 23:14,浙江杭州,808,HTTP
106.46.136.81,0.168秒,17-02-28 23:13,,808,HTTP
61.130.46.204,1.703秒,17-02-28 16:03,浙江湖州,8998,HTTP
115.198.33.19,0.734秒,17-02-28 16:02,浙江杭州,808,HTTP
182.88.230.61,1.803秒,17-03-01 13:09,广西南宁,8123,HTTP
111.72.127.128,1.043秒,17-03-01 13:09,江西吉安,808,HTTP
110.73.8.69,1.625秒,17-03-01 02:01,广西防城港,8123,HTTP
113.250.158.110,0.288秒,17-03-01 02:00,重庆,8998,HTTP
106.46.136.102,0.186秒,17-03-01 10:01,,808,HTTP
113.123.76.175,0.192秒,17-02-28 23:10,山东滨州,808,HTTP
110.73.1.247,6.819秒,17-02-28 23:10,广西防城港,8123,HTTP
220.191.101.53,0.454秒,17-02-28 16:00,浙江杭州,808,HTTP
106.56.27.249,0.408秒,17-02-28 15:54,云南,8998,HTTP
122.244.6.251,0.141秒,17-03-01 13:05,浙江宁波,80,HTTP
218.17.43.228,5.039秒,17-03-01 13:05,广东深圳市宝安区,3128,HTTP
60.206.32.250,0.022秒,17-03-01 02:00,北京,8998,HTTP
175.155.24.40,0.27秒,17-03-01 02:00,四川德阳,808,HTTP
113.69.164.181,1.687秒,17-03-01 09:55,广东佛山,808,HTTP
61.232.254.39,0.765秒,17-03-01 09:51,新疆乌鲁木齐,3128,HTTP
106.46.137.9,0.144秒,17-02-28 23:10,,808,HTTP
125.120.202.108,4.588秒,17-02-28 23:09,浙江杭州,808,HTTP
125.121.113.249,0.224秒,17-02-28 15:54,浙江杭州,808,HTTP
61.190.86.107,0.215秒,17-02-28 15:51,安徽合肥,8998,HTTP
125.118.247.206,0.493秒,17-02-28 20:27,浙江杭州,808,HTTP
106.46.136.177,1.012秒,17-03-01 13:04,,808,HTTP
106.120.78.129,1.504秒,17-03-01 13:01,广东,80,HTTP
113.69.253.19,1.187秒,17-03-01 01:54,广东佛山,808,HTTP
